k_neigh,RMSE,MedianAE,MeanAE,R2,MeanBias,MedianBias,NMB,NME
5,8.260225228986531,4.479388069133755,5.88546308668102,0.6808617353869413,-0.43073121762788763,-0.028174752743753473,-0.022219498476334597,0.3036047370961803
9,8.065459425715567,4.30198262303626,5.651762055958036,0.6957268524657042,-0.48487410011975907,0.01988515827572712,-0.02501325992513583,0.2915581453119102
20,8.0224051796107,4.170449480825312,5.519384034668526,0.6989624132274243,-0.5309841049241949,0.06032353453364614,-0.02739291108543689,0.2847392129179452
1000,9.678411960714012,4.209248877449305,5.818960644688541,0.5618540664207888,-0.9547778318233254,0.04115984935765127,-0.04925391907077549,0.300181473759386
5,8.192976753287363,4.376050362370286,5.763429673342668,0.6724614044199805,-0.46000990691160004,-0.034391560011769684,-0.023739796548576473,0.29743413307287025
9,7.943684086975873,4.245818590959866,5.549134069738476,0.6920905868399596,-0.46793889193217447,0.01805506481056085,-0.024148988803780053,0.28637494944577596
20,7.911573641930632,4.128180759661873,5.4355751006781725,0.6945821633598463,-0.4892943747485633,0.0648374570888759,-0.025253302286821305,0.2805391359561059
1000,9.515667861657866,4.159925744116869,5.758950837888179,0.5581781431888397,-0.8942312156416578,-0.003994666499544053,-0.04615277094594634,0.29722909943296877
5,8.3701435911693,4.490121783561106,5.841289767302015,0.645489993561207,-0.4921182931706266,-0.05474667884132245,-0.025445795559838055,0.3020336112012933
9,8.106205229586195,4.292695777177887,5.621123327718175,0.667405208120373,-0.5157667786683923,-0.0034473587864951583,-0.026668448304307642,0.29064810506876615
20,8.05033076097907,4.1412133161731965,5.4843663674099625,0.6719744264763872,-0.5578336895989809,0.04421010478834475,-0.028843577230545855,0.2835768936664926
1000,9.434759602358723,4.121069789519488,5.74913222456012,0.5494511014999761,-0.9513427993765892,0.02997038755993664,-0.0491905204331934,0.29726698551844266
5,8.365976535048148,4.478902544024649,5.861479526028932,0.6094494812867823,-0.3661237007023895,0.08718204845669142,-0.018975996172103136,0.3037973582027108
9,8.096573926475351,4.319141736848085,5.6431010095416605,0.6341976376022032,-0.3935377200212506,0.08607619024362556,-0.020396850174886013,0.2924789161434231
20,7.985876456899718,4.218557882071433,5.511976502352555,0.6441126771206866,-0.43251253280650087,0.10555563862978445,-0.0224168935652432,0.2856827981043455
1000,9.018283216716771,4.212777809513845,5.777556390822018,0.5461471324178007,-0.7979960230202106,0.110030932907911,-0.041359707653915515,0.2994476618743223
5,8.342587516007956,4.475437060091862,5.90261698419825,0.6342655613702995,-0.5973103082517448,-0.13004310076914827,-0.030655415027462395,0.3029366325994881
9,8.07960585785734,4.2861584667708215,5.665030988077596,0.656933130615716,-0.6236111298705966,-0.11474644739429074,-0.03200622820226361,0.290752146477775
20,7.996457629997543,4.173003148778108,5.522101655750037,0.6639578849159927,-0.6643819523181042,-0.036559740809062546,-0.03409875058479338,0.28341643900215263
1000,9.266907006532648,4.184178231107193,5.787748570037344,0.5486971891356995,-1.0520872896697593,-0.04275665687968555,-0.05399734589223701,0.29705050573484715
