k_neigh,RMSE,MedianAE,MeanAE,R2,MeanBias,MedianBias,NMB,NME
9,7.30314538488492,4.035268985047023,5.229849714930308,0.7058460570227656,-0.34368881668428125,0.023203673192828234,-0.017895992834773004,0.2723200420900193
10,7.292041420197662,4.007610100465982,5.214184937318934,0.7067398614707099,-0.3496597899392282,0.014578240411180943,-0.01820690343005522,0.2715043718258659
11,7.284972760678212,4.006335659865723,5.201566817348008,0.7073081389182927,-0.3576980122331126,0.01125857162053201,-0.018625456381424054,0.27084734205467187
12,7.275131332471818,3.995928686082099,5.190395881528516,0.7080984123655447,-0.36566460133211903,-0.0016139892896411823,-0.019040279368127074,0.2702656676513206
13,7.273306963616963,3.9893766108055786,5.181750725112566,0.7082447930614695,-0.3727663262988477,0.006854574825446491,-0.019410068587180584,0.26981551143510174
14,7.269732156361375,3.989112622954231,5.174922957493296,0.7085315160962463,-0.3769756565029148,-0.0004139019516173903,-0.019629249833454238,0.26945998726771464
15,7.267865037753568,3.9844431489681895,5.169440674925803,0.7086812152413298,-0.3841180154242908,0.011140644816560297,-0.020001154876258524,0.2691745229616817
16,7.268845436275618,3.980787234777214,5.167134925408048,0.7086026150559613,-0.390377958101606,0.017372104399179022,-0.020327112207021,0.26905446180506154
17,7.274521023015567,3.9667935631844173,5.165202584873508,0.7081473854544386,-0.3964249944360424,0.02574100369894694,-0.02064198343255784,0.26895384418039137
18,7.28080152169623,3.962550410541544,5.164482239723404,0.7076432227166902,-0.4023575295678413,0.00994305292292097,-0.020950892541777535,0.26891633556498407
19,7.290085935539364,3.9649535083285805,5.164083270281956,0.7068971257473269,-0.40919954855171026,0.006115852355712548,-0.02130715878253561,0.26889556109133567
20,7.299321552330579,3.9697118894715713,5.164922971469735,0.7061540067895322,-0.4154329062889619,0.0007161387873395597,-0.021631731826484566,0.2689392846159612
21,7.303657980050993,3.9657619980476326,5.165077345085908,0.7058047632588146,-0.4205031281603346,-0.008498011245595904,-0.02189573999281413,0.2689473229023262
22,7.309232511171484,3.9715039210254712,5.165736833765529,0.7053555017041312,-0.4264244859546793,-0.011636920719706012,-0.02220406709429519,0.26898166270074897
23,7.315531366741397,3.970598165463862,5.166068638837822,0.7048474530620664,-0.43160988756265556,-0.013040302413951821,-0.022474072708434822,0.2689989399029971
24,7.323765190812839,3.9662555060917875,5.168134665151435,0.7041826751613964,-0.4360458547813334,-0.006886249540848155,-0.022705055020651493,0.26910651859136286
25,7.331293951390942,3.9567405519665293,5.170082346524316,0.7035741677902025,-0.44065453917469954,-0.007510671896316268,-0.022945030774524148,0.2692079350186699
30,7.376077629109743,3.9430502200316724,5.1805395008482655,0.6999416345055074,-0.45968320831130305,-0.007733889257611537,-0.023935860007227246,0.26975244257832504
