loss,params
"[10.416141119597041, 24.989263217603455, 10.420644372051648, 10.297866637232735, 12.033419202481953]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 6.0, 'min_samples_split': 2.0, 'n_estimators': 30.0}"
"[10.117373495611819, 24.816812505967118, 10.153277663028446, 10.053073153599197, 11.801074867975457]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 3.0, 'min_samples_split': 6.0, 'n_estimators': 40.0}"
"[10.583291225071852, 25.003197523120896, 10.628179059957983, 10.494855001844858, 12.363388565019445]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 9.0, 'min_samples_split': 11.0, 'n_estimators': 50.0}"
"[10.228830954543932, 24.90772991615753, 10.241450987726235, 10.090356916633718, 12.004843939083187]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 3.0, 'min_samples_split': 12.0, 'n_estimators': 50.0}"
"[10.16785158557521, 24.87925504041605, 10.180846700660496, 10.058744239070913, 11.978889394960175]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 3.0, 'min_samples_split': 9.0, 'n_estimators': 40.0}"
"[11.448113113046446, 25.428505634663097, 11.601051669546148, 11.433482766524675, 13.134594647737037]","{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 8.0, 'min_samples_split': 6.0, 'n_estimators': 50.0}"
"[10.308883944710395, 24.90603293404875, 10.352417632975357, 10.202137193665967, 12.052161257968343]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 5.0, 'min_samples_split': 11.0, 'n_estimators': 40.0}"
"[10.509395210380799, 25.02311415945607, 10.647603214528772, 10.451535367980442, 12.359370046361985]","{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2.0, 'min_samples_split': 13.0, 'n_estimators': 100.0}"
"[10.354326946256323, 24.898829589733595, 10.381103489087876, 10.226879084190747, 12.192207337332652]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 4.0, 'min_samples_split': 17.0, 'n_estimators': 50.0}"
"[10.338681045346604, 24.95586526534843, 10.413952424704576, 10.308559539409345, 11.920787483145139]","{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2.0, 'min_samples_split': 2.0, 'n_estimators': 40.0}"
"[10.667271163591773, 25.067273197251993, 10.732316957157026, 10.591338829936149, 12.452329709933336]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 11.0, 'min_samples_split': 5.0, 'n_estimators': 70.0}"
"[10.290613266890261, 24.925015964955755, 10.386886341639906, 10.192098064586693, 12.111065127746292]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 4.0, 'min_samples_split': 10.0, 'n_estimators': 30.0}"
"[11.195457135676884, 25.31575216347782, 11.339825688968956, 11.163233300816525, 12.926964875830045]","{'max_depth': 29.0, 'max_features': 'log2', 'min_samples_leaf': 6.0, 'min_samples_split': 8.0, 'n_estimators': 70.0}"
"[12.449994952160822, 25.891775388069732, 12.687630358408548, 12.473066762196066, 14.028094372761961]","{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 18.0, 'min_samples_split': 15.0, 'n_estimators': 50.0}"
"[10.319058924439693, 24.916162424627235, 10.392963414493664, 10.219664743497152, 12.135675730487945]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 6.0, 'min_samples_split': 3.0, 'n_estimators': 80.0}"
"[10.53822701861077, 25.032190748232196, 10.613887279672376, 10.429971573629876, 12.32974706226098]","{'max_depth': 29.0, 'max_features': 'auto', 'min_samples_leaf': 8.0, 'min_samples_split': 14.0, 'n_estimators': 40.0}"
"[10.371989891323784, 24.96542795897352, 10.490014042591643, 10.311247919432615, 12.180999898371622]","{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2.0, 'min_samples_split': 8.0, 'n_estimators': 90.0}"
"[12.470947324350258, 25.911028427588544, 12.705288764724763, 12.507858881133604, 14.021037759628461]","{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 17.0, 'min_samples_split': 16.0, 'n_estimators': 30.0}"
"[10.16415554851502, 24.86403485198353, 10.212738038972496, 10.044497530267911, 12.021985345880863]","{'max_depth': 25.0, 'max_features': 'auto', 'min_samples_leaf': 4.0, 'min_samples_split': 5.0, 'n_estimators': 70.0}"
"[11.691290111569977, 25.53239331564702, 11.858110625778492, 11.688400629570673, 13.366138077033703]","{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 10.0, 'min_samples_split': 3.0, 'n_estimators': 50.0}"
"[12.19055598282427, 25.758504104593456, 12.264142016186806, 12.037004856370999, 13.755012283016429]","{'max_depth': 4.0, 'max_features': 'auto', 'min_samples_leaf': 5.0, 'min_samples_split': 9.0, 'n_estimators': 50.0}"
"[12.646574144498096, 25.977537498607237, 12.833224797243597, 12.684106095806557, 14.185865922312777]","{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 20.0, 'min_samples_split': 13.0, 'n_estimators': 40.0}"
"[10.707431634942175, 25.100088368573775, 10.775482456829268, 10.65692734621686, 12.467588741245535]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 12.0, 'min_samples_split': 6.0, 'n_estimators': 100.0}"
"[11.618649061186046, 25.47500163985662, 11.719761428416604, 11.563038476900786, 13.2615473864254]","{'max_depth': 24.0, 'max_features': 'sqrt', 'min_samples_leaf': 8.0, 'min_samples_split': 10.0, 'n_estimators': 30.0}"
"[10.86850131349385, 25.161097828108037, 10.926682619625607, 10.778421865641773, 12.620692021692696]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 15.0, 'min_samples_split': 14.0, 'n_estimators': 60.0}"
"[10.370047531053496, 24.927601988130448, 10.414629807683548, 10.25709395246097, 12.16441848953244]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 4.0, 'min_samples_split': 20.0, 'n_estimators': 60.0}"
"[12.044208645286814, 25.711707046949662, 12.14440862346286, 11.953229889729743, 13.645948233277517]","{'max_depth': 9.0, 'max_features': 'log2', 'min_samples_leaf': 3.0, 'min_samples_split': 17.0, 'n_estimators': 80.0}"
"[10.845493537460053, 25.153531363168547, 10.92873827379742, 10.79137678331465, 12.611362176538389]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 14.0, 'min_samples_split': 3.0, 'n_estimators': 30.0}"
"[11.588389517158681, 25.468933635591718, 11.75426427706005, 11.55130826478706, 13.286907008201505]","{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 9.0, 'min_samples_split': 8.0, 'n_estimators': 40.0}"
"[10.707223334970687, 25.060983064194744, 10.746645095929459, 10.621596017364341, 12.437613239302793]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 11.0, 'min_samples_split': 11.0, 'n_estimators': 50.0}"
"[10.056265134166223, 24.792038915809744, 10.121481022339024, 10.040560697569182, 11.562526746847192]","{'max_depth': 24.0, 'max_features': 'auto', 'min_samples_leaf': 1.0, 'min_samples_split': 10.0, 'n_estimators': 60.0}"
"[10.354135508252783, 24.939822339412256, 10.389224260355784, 10.232824054669658, 12.173283614045458]","{'max_depth': 25.0, 'max_features': 'auto', 'min_samples_leaf': 6.0, 'min_samples_split': 10.0, 'n_estimators': 90.0}"
"[10.490618776263672, 25.042348825695463, 10.620891292164277, 10.443055397565743, 12.099753735443791]","{'max_depth': 23.0, 'max_features': 'log2', 'min_samples_leaf': 2.0, 'min_samples_split': 7.0, 'n_estimators': 70.0}"
"[10.408719649254081, 24.99096103953102, 10.474349201404172, 10.332667192198567, 12.169557382226891]","{'max_depth': 27.0, 'max_features': 'auto', 'min_samples_leaf': 7.0, 'min_samples_split': 4.0, 'n_estimators': 70.0}"
"[10.710676627546468, 25.136520051956694, 10.808048018852073, 10.670525646359062, 12.557964692817524]","{'max_depth': 15.0, 'max_features': 'sqrt', 'min_samples_leaf': 1.0, 'min_samples_split': 6.0, 'n_estimators': 60.0}"
"[10.343894370148233, 24.930917913298742, 10.391108798906776, 10.238301892774322, 12.061300942452315]","{'max_depth': 11.0, 'max_features': 'auto', 'min_samples_leaf': 3.0, 'min_samples_split': 5.0, 'n_estimators': 80.0}"
"[10.31479402192187, 24.87684542992709, 10.316644467408025, 10.170319533446698, 11.96011156035532]","{'max_depth': 22.0, 'max_features': 'auto', 'min_samples_leaf': 5.0, 'min_samples_split': 9.0, 'n_estimators': 60.0}"
"[12.137962670362016, 25.73886022211278, 12.197375006907741, 11.994146463048363, 13.738572148014603]","{'max_depth': 4.0, 'max_features': 'auto', 'min_samples_leaf': 1.0, 'min_samples_split': 12.0, 'n_estimators': 50.0}"
