k_neigh,RMSE,MedianAE,MeanAE,R2,MeanBias,MedianBias,NMB,NME
70,8.372524071463529,4.115939604867853,5.536382869153356,0.6721136122102671,-0.6301129614406035,0.11352431367277571,-0.032505502090443436,0.2856041947071161
100,8.512703160034052,4.119294898153174,5.567689119971712,0.6610422586756592,-0.6620120123557239,0.10232411843053857,-0.034151071582989655,0.2872191835483129
200,8.84784235175026,4.134011270542266,5.642572115599586,0.6338278336476473,-0.7349307661971093,0.10539041797609805,-0.03791271568566713,0.29108215657041275
300,9.043209714535926,4.157036230243819,5.685786367308546,0.6174785596839673,-0.7803156613669531,0.0942646860969738,-0.04025397653109567,0.2933114408975452
400,9.182948281049713,4.164944739441777,5.716663625028581,0.6055655363587165,-0.8159892812630166,0.08109348008938078,-0.04209426390346468,0.29490429936386064
500,9.292254032938018,4.177168657614315,5.74059665752912,0.5961196482573938,-0.8460266230915372,0.07874705810485949,-0.04364379380896937,0.29613892757432997
70,8.22354061248215,4.056626476834946,5.463197363529163,0.6700209788629823,-0.5708246110669964,0.10840260592775408,-0.029461214352688385,0.2819647672112794
100,8.375196535262752,4.075633819261121,5.500541287503172,0.6577380179347299,-0.6030817082382813,0.09011014862203659,-0.031126057170839376,0.2838921496815485
200,8.699500963047395,4.107689188971891,5.580257359317707,0.6307186899439117,-0.6712702134003266,0.06952860927920312,-0.03464538014329025,0.28800642967850315
300,8.883753922465347,4.115303440206009,5.624969944857679,0.6149104910829192,-0.716410521298441,0.06641629589461573,-0.03697514704743064,0.29031412111527166
400,9.014829316743244,4.132075708657432,5.656461794136126,0.6034630484622348,-0.7521897432771822,0.06751364582213526,-0.038821772626726835,0.2919394682078237
500,9.121505078521562,4.140264105001929,5.680476248039476,0.5940227893605217,-0.7822305840540459,0.05584986555980187,-0.0403722307399603,0.29317889439984945
70,8.31851425459626,4.053371552156339,5.484192124016263,0.6497551283895449,-0.6425755823564577,0.0756812441039969,-0.03322527624583849,0.2835678841662118
100,8.450636494894226,4.066499875144338,5.512669449716694,0.6385409553637893,-0.6736652931925929,0.06651171705232883,-0.03483281356797846,0.28504034443255083
200,8.728325232187311,4.0890267839371175,5.580156210202506,0.6143954982119174,-0.7398496404828985,0.06348728623976996,-0.038254968536592035,0.2885298425112904
300,8.888300085737862,4.105870833260607,5.621119355784906,0.6001310593000467,-0.7819275796537544,0.05835941539445244,-0.04043066769353842,0.29064789969435767
400,9.00649088945627,4.0997385998024924,5.650475361662838,0.5894259631974545,-0.815966763941424,0.052801979139184496,-0.04219071169800146,0.2921657933578422
500,9.098670323702162,4.104089706345128,5.673409655185306,0.5809786871013402,-0.8447462230787901,0.04689640646440019,-0.0436787941995777,0.2933516433320861
70,8.17084697290772,4.148801802332816,5.531092036420469,0.6274354769093002,-0.5186274202200338,0.16578105796963172,-0.026880182184895084,0.2866735460252501
100,8.262247988753593,4.1564296366787445,5.559463633128568,0.6190536684696384,-0.54576473016053,0.16755589509624613,-0.028286694464749126,0.28814403072902167
200,8.461845582084202,4.152461980347265,5.621109018088219,0.6004257112099256,-0.6027832405158132,0.15019018967382536,-0.03124193340219499,0.2913390781059428
300,8.591068474139298,4.160274985516843,5.659483381502778,0.5881285347965388,-0.6418779008334021,0.13831059053160644,-0.03326818876552988,0.2933280008655128
400,8.684165242240608,4.174055163355785,5.6871888557506916,0.5791537120542111,-0.6725548961641605,0.12989879665038195,-0.0348581610485729,0.29476396079795697
500,8.75884362855089,4.180120353390251,5.708806494276538,0.5718845613927637,-0.6987961349267052,0.14040879431644626,-0.03621823043787605,0.29588439145651224
70,8.199450069694542,4.12236408936775,5.531077699045126,0.6466802781649843,-0.7455700638467291,0.0057458753574728405,-0.03826565059736244,0.2838771256004108
100,8.303755624006273,4.126163534759901,5.556725275663582,0.6376339117025659,-0.7738919316658585,0.00713447570617376,-0.039719242621484116,0.28519346225760883
200,8.561513224396077,4.136543704821548,5.619319944758103,0.6147882796779566,-0.8403807132809691,-0.0019901706911404915,-0.043131713976357594,0.28840607211545427
300,8.730507656671094,4.149570097292553,5.6605381149364185,0.5994309192697332,-0.8848730033492623,-0.006245159570934078,-0.045415237026150815,0.2905215541805044
400,8.849611750795642,4.147686563775437,5.690165639491628,0.5884270115532667,-0.9192643461855546,-0.016687915752807925,-0.047180338888956036,0.29204215775308495
500,8.942650049626808,4.157682221602906,5.712772481404797,0.5797275704974643,-0.9480557737513974,-0.018439319871095705,-0.04865803060547899,0.2932024316907158
